1.	 SDN技術に基づく災害に強いネバー・ダイ・ネットワークシステムの開発と評価
2.	 OpenFlowを用いたWebアプリケーションベースの災害時救命情報収集機構の検討
3.	 大規模災害時の要救助者検知のためのストリームG空間データ処理技術
4.	 DTNプロトコルを用いたスマート端末によるマルチホップネットワークの実現方法
5.	 メッセージ伝達の信頼性向上とトラフィック増加の抑制の双方を実現する被災情報収集システムに関する検討
6.	 複数UAV協調センシングにおける階層的カバー率の提案
7.	 V2X通信を用いた道路注意情報共有システム
8.	 Data Prioritization at Multi-user IoT Gateway with Multiple Sensor Data Attributes
9.	 IoT環境におけるストリーミング処理時間短縮手法
10.	 複数人の行動・移動状況の把握を目標としたiBeaconによる存在領域判 定システムの検討
D1.	 災害時における情報収集・表示システムの構築
D2.	 自転車ツーリングにおける適正ルート推薦システム
D3.	 ソーシャルメディアを活用したスマート教育支援システム
D4.	 スマートフォンカメラを用いた群集人数推定システム
D5.	 線形モーションぶれに耐性のある円形バーコード
D6.	 スマートホーム内における人物行動と家電状態の3D可視化システム
D7.	 ひとなび: 群集センシングとソーシャルメディアの融合による場の盛り上がりの可視化
D8.	 設置位置の自動推定機能を備えたポータブル人感センサーシステム
D9.	 Symbiotic Realityの概念に基づくタウンマネージメント支援システム
P1.	 OpenStack環境における仮想マシンと仮想ネットワークの統合管理方式
P2.	 管理コストが低い長寿命な無線センサネットワークにおけるトポロジ変化時の部分的な配送木の再構築手法
P3.	 携帯端末を用いた利用者指向型動画配信サービスにおける動画品質決定手法の設計
P4.	 リンク状態型ルーティングプロトコルにおけるメッセージ統合による制御負荷低減手法の提案
P5.	 カメラモニタリング向けセンサノードの発光による障害物の位置推定手法の検討
P6.	 複数のオーバーレイネットワークを使ったP2Pアプリケーションについての考察
P7.	 MBCRにおける宛先仮想アドレスの取得とリンク切断時の通知機能の拡張
P8.	 GPUによるベイジアンネットワーク学習の高速化
P9.	 ARマーカとフィンガープリント法を利用したスタンプラリーアプリケーション作成の検討
P10.	 不揮発性ネットワークのためのセッション制御機能の実装と評価
P11.	 Server-Sent Eventsを用いたWebSocketエミュレーションフレームワークの設計と実装
P12.	 GAIFoT：情報流を活用した地域分散型アンビエントインターフェース
P13.	 スキップグラフを用いたスケーラブルなセンサデータ収集システムの検討
P14.	 自転車競技のためのオープンなセンサ統合情報プラットフォームの提案
11.	 クラウド・ソリューション設計サービスの提案
12.	 ハイブリッドクラウドのためのリシリエンシーメカニズム
13.	 契約概念に基づくストリーム型データ共有基盤の検討
14.	 マルチコア向けAnTオペレーティングシステムのファイル操作における分散効果の評価
15.	 高齢者を対象としたやさしいソーシャルメディア仲介システム
16.	 コンテキスト活用ナビのための位置コンテキスト認識手法
17.	 RecurChat: 端末間でアプリ配布可能なBluetoothChatシステム
18.	 携帯電話の基地局通信履歴と地理情報を用いたパーソントリップ推定法の提案
19.	 WiFiチャネル切り替え後の通信品質予測手法の提案
20.	 指向性受信による低遅延MAC Level 2hopブロードキャストプロトコルに関する検討
21.	 共通観測イベントによる無線センサノード間の時計合わせ手法
22.	 動的に変化するネットワークシステムのための知識型障害解決支援システム
23.	 仮想環境におけるルータ構築省力化と通信性能評価 ー VyOS, VirtualBoxを用いて ー
24.	 高機能高可用性ストレージシステムのためのSDN型ストレージ間通信方式の設計と実装
25.	 ネットワーク情報のAR可視化システムの提案
26.	 災害時情報共有における合理的な利用者情報開示程度決定手法の設計
27.	 プローブシップデータに基づく定期船運航管理時の異常検知
28.	 文字入力と閲覧待機の強制によるスマートフォン使用意欲減少手法に関する基礎的検討
